date,B00006IAVC,B001GEZEAK,B00B5I4BYM,B00B5I4HU0,B00B5I4JSA,B00BFFGJ6S,B00EZMPD4W,B013EW28WS,B01CRONSGY,B01MF6AHC2
2013-02-12,,,28.52,,,,,,,
2013-02-13,,,30.0,,,,,,,
2013-02-14,,,30.0,,,,,,,
2013-02-15,,,30.0,,,,,,,
2013-02-16,,,30.0,,,,,,,
2013-02-17,,,30.0,,,,,,,
2013-02-18,,,30.0,,,,,,,
2013-02-19,,,30.0,,,,,,,
2013-02-20,,,30.0,,,,,,,
2013-02-21,,,30.0,,,,,,,
2013-02-22,,,30.0,,,,,,,
2013-02-23,,,30.0,,,,,,,
2013-02-24,,,30.0,,,,,,,
2013-02-25,,,30.0,,,,,,,
2013-02-26,,,30.0,,,-0.01,,,,
2013-02-27,,,30.0,,,-0.01,,,,
2013-02-28,,,30.0,,,-0.01,,,,
2013-03-01,,,30.0,,,-0.01,,,,
2013-03-02,,,30.0,,,-0.01,,,,
2013-03-03,,,30.0,,,-0.01,,,,
2013-03-04,,,30.0,,,-0.01,,,,
2013-03-05,,,30.0,,,-0.01,,,,
2013-03-06,,,30.0,,,-0.01,,,,
2013-03-07,,,30.0,,,-0.01,,,,
2013-03-08,,,30.0,,,-0.01,,,,
2013-03-09,,,30.0,,,-0.01,,,,
2013-03-10,,,30.0,,,-0.01,,,,
2013-03-11,,,30.0,,,-0.01,,,,
2013-03-12,,,30.0,,,-0.01,,,,
2013-03-13,,,30.0,,,-0.01,,,,
2013-03-14,,,30.0,,,-0.01,,,,
2013-03-15,,,30.0,,,-0.01,,,,
2013-03-16,,,30.0,,,-0.01,,,,
2013-03-17,,,30.0,,,-0.01,,,,
2013-03-18,,,30.0,,48.0,-0.01,,,,
2013-03-19,,,30.0,,48.0,-0.01,,,,
2013-03-20,,,30.0,,48.0,-0.01,,,,
2013-03-21,,,30.0,,48.0,-0.01,,,,
2013-03-22,,,30.0,,48.0,-0.01,,,,
2013-03-23,,,30.0,,48.0,-0.01,,,,
2013-03-24,,,30.0,,48.0,-0.01,,,,
2013-03-25,,,30.0,,48.0,-0.01,,,,
2013-03-26,,,30.0,,48.0,-0.01,,,,
2013-03-27,,,30.0,,48.0,-0.01,,,,
2013-03-28,,,30.0,,48.0,-0.01,,,,
2013-03-29,,,30.0,,48.0,-0.01,,,,
2013-03-30,,,30.0,,48.0,-0.01,,,,
2013-03-31,,,30.0,,48.0,-0.01,,,,
2013-04-01,,,30.0,,48.0,-0.01,,,,
2013-04-02,,,30.0,,48.0,-0.01,,,,
2013-04-03,,,30.0,,48.0,-0.01,,,,
2013-04-04,,,30.0,,48.0,-0.01,,,,
2013-04-05,,,30.0,,48.0,-0.01,,,,
2013-04-06,,,30.0,,48.0,-0.01,,,,
2013-04-07,,,30.0,,48.0,-0.01,,,,
2013-04-08,,,30.0,,48.0,-0.01,,,,
2013-04-09,,,30.0,,48.0,-0.01,,,,
2013-04-10,,,30.0,,48.0,-0.01,,,,
2013-04-11,,,30.0,,48.0,-0.01,,,,
2013-04-12,,,30.0,,48.0,-0.01,,,,
2013-04-13,,,30.0,,48.0,-0.01,,,,
2013-04-14,,,30.0,,48.0,-0.01,,,,
2013-04-15,,,30.0,,48.0,-0.01,,,,
2013-04-16,,,30.0,,48.0,-0.01,,,,
2013-04-17,,,30.0,,48.0,-0.01,,,,
2013-04-18,,,30.0,,48.0,-0.01,,,,
2013-04-19,,,30.0,,48.0,-0.01,,,,
2013-04-20,,,30.0,,48.0,-0.01,,,,
2013-04-21,,,30.0,,48.0,-0.01,,,,
2013-04-22,,,30.0,,48.0,-0.01,,,,
2013-04-23,,,30.0,,48.0,-0.01,,,,
2013-04-24,,,30.0,,48.0,-0.01,,,,
2013-04-25,,,30.0,,48.0,-0.01,,,,
2013-04-26,,,30.0,,48.0,-0.01,,,,
2013-04-27,,,30.0,,48.0,-0.01,,,,
2013-04-28,,,30.0,,48.0,-0.01,,,,
2013-04-29,,,30.0,,48.0,-0.01,,,,
2013-04-30,,,30.0,,48.0,-0.01,,,,
2013-05-01,,,30.0,,48.0,-0.01,,,,
2013-05-02,,,30.0,,48.0,-0.01,,,,
2013-05-03,,,30.0,,48.0,-0.01,,,,
2013-05-04,,,30.0,,48.0,-0.01,,,,
2013-05-05,,,30.0,,48.0,-0.01,,,,
2013-05-06,,,30.0,,48.0,-0.01,,,,
2013-05-07,,,30.0,,48.0,-0.01,,,,
2013-05-08,,,30.0,,48.0,-0.01,,,,
2013-05-09,,,30.0,,48.0,-0.01,,,,
2013-05-10,,,30.0,,48.0,-0.01,,,,
2013-05-11,,,30.0,,48.0,-0.01,,,,
2013-05-12,,,30.0,,48.0,-0.01,,,,
2013-05-13,,,30.0,,48.0,-0.01,,,,
2013-05-14,,,30.0,,48.0,-0.01,,,,
2013-05-15,,,30.0,,48.0,-0.01,,,,
2013-05-16,,,30.0,,48.0,-0.01,,,,
2013-05-17,,,30.0,,48.0,-0.01,,,,
2013-05-18,,,30.0,,48.0,-0.01,,,,
2013-05-19,,,30.0,,48.0,-0.01,,,,
2013-05-20,,,30.0,,48.0,-0.01,,,,
2013-05-21,,,30.0,,48.0,-0.01,,,,
2013-05-22,,,30.0,,48.0,-0.01,,,,
2013-05-23,,,30.0,,48.0,-0.01,,,,
2013-05-24,,,30.0,,48.0,-0.01,,,,
2013-05-25,,,30.0,,48.0,-0.01,,,,
2013-05-26,,,30.0,,48.0,-0.01,,,,
2013-05-27,,,30.0,,48.0,-0.01,,,,
2013-05-28,,,30.0,,48.0,-0.01,,,,
2013-05-29,,,30.0,,48.0,-0.01,,,,
2013-05-30,,,30.0,,48.0,-0.01,,,,
2013-05-31,,,30.0,,48.0,-0.01,,,,
2013-06-01,,,30.0,,48.0,-0.01,,,,
2013-06-02,,,30.0,,48.0,-0.01,,,,
2013-06-03,,,30.0,,48.0,-0.01,,,,
